delta,total
,
,
,
,
,
1,42
,
,
,
,
,
,
,
2,107
5,87
26,101
45,85
79,106
36,63
149,157
162,180
136,150
122,126
47,52
90,95
119,122
15,16
55,59
341,342
494,494
447,447
417,417
304,304
338,339
528,528
479,479
352,352
348,348
293,293
318,318
302,302
269,269
262,262
275,275
274,274
268,268
227,227
239,239
179,186
215,238
120,329
200,365
67,241
